id	カテゴリ	テキスト	タグ	重要度
BRAIN-001	実績	営業活動の提案資料作成・議事録反映・ヒアリング→提案商談の引き継ぎを自動化し、業務時間を1/3に短縮。成約率は4%向上した。	営業,自動化,成約率,業務改善	5
BRAIN-002	実績	マーケティングの特定チャネルの業務フローを半自動化。作業時間を3時間→0.5時間に短縮し、月1,000万円の売上リードに繋がるチャネルを構築。ROASは4,000%を達成。	マーケティング,自動化,ROAS,リード獲得,コスト削減	5
BRAIN-003	実績	マーケ自動化は5時間で構築。5時間の初期投資で月1,000万円のリード+ROAS4,000%。中小企業のAI導入は大掛かりである必要はない。	マーケティング,自動化,MVP,低コスト,スピード	5
BRAIN-004	実績	営業フロー全体（顧客分析→ヒアリング→提案資料→提案→追い連絡→契約書作成→送付→締結→初回ヒアリング）を自動化。1人あたり3h/日の削減×営業50名×時給2,000円=年間約3,600万円のコスト削減。	営業,自動化,コスト削減,年間3600万	5
BRAIN-005	実績	製造業の社長の頭の中の知識を全てAIに取り込み、個社ごとの「専用社長ブレインAI」を構築。社員が社長への無駄な質問をせずに済むようになり、渉外担当が交渉時に会社や工場の稼働状況をAIからすぐに取得。高速かつ高品質な意思決定を実現。	製造業,デジタルツイン,属人化解消,ナレッジ管理	5
BRAIN-006	実績	製造業の社長は繁忙期に深夜3時まで見積もり作業に追われていた。社長ブレインAI導入後、少なくとも日常の無駄な質問対応で2時間/日を削減。繁忙期（週1-2回発生）の8時間級の残業も解消。	製造業,社長の時間,見積もり,属人化解消	5
BRAIN-007	実績	マーケ業務の教育において、Notionのマニュアル+先輩からの簡単な説明だけで、インターン生が0.5時間で業務実行可能に。以前は1ヶ月かけて全体オペを理解→2-3時間で作成していたものが、週4-5日コミットする人なら2週間で自走可能に。	教育,マニュアル化,インターン,属人化解消,Notion	4
BRAIN-008	実績	SNSマーケ会社で、企業からの要件シートとインフルエンサーからの納品クリエイティブを要件通りかAIでチェック。エラー時は自動でエラーメッセージ表示。1案件2-3時間→10分+30分の目チェックに短縮。月15-20案件で月30-40時間の削減。	OCR,品質チェック,SNSマーケ,自動化,コスト削減	4
BRAIN-009	実績	kintone→GAS→Gemini→スプレッドシート→Slackの連携や、Webフォーム→自社システム→スプレッドシート/ダッシュボード反映など、APIベースのシステム連携を多数構築。Anthropicの認定を受けるレベルでAPI・MCP・フック連携を習得している。	kintone,GAS,Gemini,Slack,API連携,Anthropic	4
BRAIN-010	実績	自分自身の業務をSlackとClaude Codeに集約。Slackから自動でGoogleカレンダーに予定登録→Meetリンク取得→クライアントへメール送信。毎朝Slackに1日の予定が届く。給料関連やクライアント連絡も全てSlackに集約。	Slack,自動化,GAS,Googleカレンダー,Claude Code	4
